 Valor         Frequência 
788                2
335                2
899                2
528                2
497                2
299                2
255                2
301                2
505                2
324                2
732                2
850                2
190                2
829                2
808                2
42                2
586                2
708                2
348                2
444                2
305                2
819                2
921                2
202                2
917                2
793                2
756                2
343                2
746                2
590                2
529                2
542                2
172                2
422                2
303                2
429                2
795                2
353                1
131                1
660                1
860                1
390                1
34                1
193                1
157                1
797                1
91                1
723                1
814                1
872                1
117                1
535                1
584                1
920                1
811                1
769                1
464                1
404                1
28                1
568                1
545                1
315                1
289                1
33                1
304                1
640                1
94                1
550                1
582                1
892                1
884                1
383                1
958                1
581                1
95                1
621                1
59                1
599                1
944                1
940                1
972                1
933                1
929                1
984                1
229                1
622                1
771                1
611                1
139                1
4                1
526                1
980                1
988                1
990                1
994                1
9                1
522                1
898                1
179                1
748                1
881                1
188                1
915                1
954                1
67                1
964                1
465                1
826                1
796                1
541                1
908                1
858                1
684                1
773                1
886                1
407                1
249                1
530                1
658                1
151                1
149                1
414                1
651                1
219                1
370                1
437                1
342                1
630                1
618                1
197                1
813                1
488                1
210                1
491                1
385                1
248                1
39                1
555                1
275                1
456                1
12                1
927                1
782                1
873                1
205                1
226                1
637                1
31                1
232                1
668                1
857                1
152                1
339                1
432                1
470                1
235                1
46                1
321                1
238                1
681                1
443                1
697                1
949                1
327                1
841                1
298                1
426                1
569                1
467                1
506                1
725                1
22                1
177                1
69                1
364                1
669                1
2                1
965                1
170                1
87                1
269                1
865                1
924                1
123                1
418                1
925                1
222                1
626                1
49                1
625                1
317                1
363                1
21                1
441                1
507                1
705                1
326                1
215                1
50                1
311                1
993                1
499                1
619                1
987                1
981                1
163                1
914                1
753                1
730                1
772                1
786                1
859                1
150                1
647                1
445                1
973                1
975                1
659                1
690                1
90                1
801                1
144                1
539                1
579                1
440                1
362                1
601                1
128                1
689                1
121                1
961                1
959                1
682                1
871                1
135                1
125                1
804                1
178                1
692                1
167                1
333                1
82                1
227                1
686                1
452                1
286                1
19                1
750                1
919                1
672                1
676                1
155                1
887                1
395                1
399                1
281                1
709                1
209                1
350                1
270                1
159                1
600                1
58                1
490                1
895                1
386                1
675                1
971                1
715                1
378                1
29                1
828                1
355                1
198                1
451                1
939                1
587                1
683                1
273                1
644                1
652                1
556                1
258                1
540                1
721                1
253                1
900                1
376                1
928                1
661                1
245                1
688                1
396                1
802                1
498                1
932                1
605                1
133                1
842                1
199                1
183                1
237                1
739                1
372                1
810                1
537                1
282                1
606                1
436                1
468                1
413                1
393                1
930                1
481                1
259                1
474                1
60                1
667                1
306                1
840                1
81                1
62                1
71                1
648                1
777                1
143                1
365                1
134                1
412                1
868                1
107                1
570                1
416                1
551                1
699                1
794                1
320                1
211                1
373                1
224                1
649                1
285                1
280                1
189                1
276                1
466                1
890                1
956                1
313                1
369                1
894                1
524                1
878                1
503                1
142                1
629                1
206                1
